gene	UCEC	Rank
26255	1.72715858809016	282.0
57650	1.709234103992393	283.0
3601	1.7040123004703789	284.0
3910	1.7003777920087637	285.0
27295	1.6970095880302802	286.0
9768	1.6966879401547208	287.0
81930	1.687951464350956	288.0
6373	1.6852741540238811	289.0
220042	1.678026759961375	290.0
84251	1.6607467251568095	291.0
151246	1.657649633314262	292.0
284992	1.6532617532433151	293.0
3838	1.6478949583240925	294.0
53829	1.6391039435564243	295.0
11113	1.6384945912139888	296.0
1009	1.638082961557955	297.0
2237	1.634562223503793	298.0
10537	1.633668469069481	299.0
1104	1.6319987247235077	300.0
116028	1.629833092445934	301.0
93594	1.6246028818860967	302.0
50509	1.6201315139519663	303.0
3161	1.6130849482513645	304.0
56917	1.6079386607555233	305.0
9636	1.606509473192179	306.0
79801	1.6042395048625295	307.0
84904	1.6022151408604932	308.0
3559	1.6005331721049834	309.0
5197	1.59851552156286	310.0
54796	1.597098476243179	311.0
898	1.5878448229755209	312.0
5902	1.582436285800865	313.0
150468	1.5820534630830168	314.0
51191	1.57758578931877	315.0
9319	1.5764635407983496	316.0
25902	1.5707635670569595	317.0
6258	1.5688167008491984	318.0
10535	1.5681121698647602	319.0
2597	1.5660847748063564	320.0
1287	1.55710388317556	321.0
5069	1.555342695077257	322.0
83903	1.5544977062947654	323.0
3015	1.5418607156254387	324.0
23704	1.5386988176075704	325.0
51513	1.5371906405625058	326.0
115362	1.5367967304146095	327.0
55340	1.5262328514119052	328.0
23452	1.5227748173959252	329.0
25886	1.517845783896996	330.0
54510	1.5118938106419215	331.0
1292	1.5099460609381423	332.0
79168	1.509164847291628	333.0
54892	1.5078577266377613	334.0
84930	1.5015385698901036	335.0
2821	1.4973345765845771	336.0
54947	1.4896275248788318	337.0
10293	1.484784844451615	338.0
51659	1.4845289051009587	339.0
1906	1.4809060597901045	340.0
5133	1.4804216926663785	341.0
8900	1.4784305782224303	342.0
9902	1.4762246105467336	343.0
79958	1.4702385539092564	344.0
7083	1.466977726376319	345.0
3090	1.4613608801110989	346.0
6360	1.457510991356377	347.0
285180	1.4495519705817852	348.0
50615	1.43577841315011	349.0
195828	1.4263858696047158	350.0
5727	1.4215531134100332	351.0
54908	1.4202761159961947	352.0
84790	1.4202188306399512	353.0
9735	1.4130728290319432	354.0
4173	1.4097804748450358	355.0
7041	1.404169629126958	356.0
10186	1.401284090138241	357.0
167465	1.4007073809537247	358.0
375444	1.3941991387106212	359.0
29128	1.3940954289969247	360.0
10351	1.3916601882643795	361.0
87	1.3908431789324578	362.0
941	1.3848488677108173	363.0
157570	1.3828310365188778	364.0
3918	1.380229161958343	365.0
8029	1.375982497069458	366.0
2187	1.3739560254127876	367.0
952	1.373034832859644	368.0
89839	1.356602645758961	369.0
2247	1.3562170587102806	370.0
22948	1.3504774669596231	371.0
9910	1.3504558627627847	372.0
55055	1.3496532175421576	373.0
494143	1.347898674831888	374.0
4751	1.334002890610455	375.0
23590	1.3338598895102418	376.0
284417	1.333302924387716	377.0
3619	1.3324955619391716	378.0
89790	1.3316210955135812	379.0
3003	1.326592563206348	380.0
29091	1.3264363611614192	381.0
25927	1.3251204313797964	382.0
5176	1.3232549733079149	383.0
10635	1.3218975994216788	384.0
55303	1.3216137897038744	385.0
3429	1.314231923013634	386.0
79866	1.313709932720565	387.0
10335	1.3126038433416514	388.0
11006	1.3103025523399552	389.0
332	1.308394662443814	390.0
1285	1.3050194102936803	391.0
346389	1.3038723309787232	392.0
337876	1.301793348813612	393.0
1842	1.3013172367236048	394.0
713	1.2987285793376564	395.0
3580	1.2936979140577858	396.0
83716	1.2927138867600212	397.0
664	1.29186690346412	398.0
5230	1.2881634335350975	399.0
5579	1.2847713836324963	400.0
25903	1.28143548625158	401.0
1894	1.2771552422021295	402.0
54443	1.2736123896163034	403.0
1286	1.2726780689062542	404.0
7517	1.2713092028976525	405.0
4638	1.26598798310073	406.0
