gene	KICH	Rank
1638	16.229375610050067	215.0
1601	16.183180708750694	216.0
6446	16.14903875686566	217.0
5261	16.096120211826726	218.0
3554	16.056852323318644	219.0
5924	15.940442323905	220.0
222	15.940224478999014	221.0
2259	15.921150706241823	222.0
5144	15.888831791757264	223.0
10912	15.851379683620962	224.0
4066	15.847539860804188	225.0
7020	15.757243562869794	226.0
2946	15.709202445882164	227.0
4843	15.624153905027374	228.0
5139	15.51760196492489	229.0
85480	15.49962435131244	230.0
55620	15.464884306740702	231.0
9824	15.43753356669498	232.0
256281	15.356513002128588	233.0
2004	15.298843238578204	234.0
79574	15.28048997397205	235.0
3082	15.186197090963748	236.0
2335	15.154561038421832	237.0
80326	15.137769767495584	238.0
8536	15.118765876147718	239.0
89780	15.08302655335528	240.0
2099	14.952325448304398	241.0
11255	14.94888724188502	242.0
3576	14.820343024883046	243.0
3707	14.814775389865668	244.0
3665	14.693347926819044	245.0
6373	14.650156461074438	246.0
6310	14.63866958413092	247.0
114	14.632156535838186	248.0
3804	14.63154242266279	249.0
8341	14.579963767029378	250.0
83858	14.569949374814785	251.0
91754	14.530971739198185	252.0
2247	14.466766468404389	253.0
23430	14.28904294250727	254.0
4052	14.278620544523893	255.0
2950	14.270721750928375	256.0
1237	14.200144633310016	257.0
5610	14.193178285780712	258.0
225689	14.140611876636596	259.0
4286	14.082377328117992	260.0
3725	14.043218065923424	261.0
66004	14.027078106262188	262.0
120892	14.01561244236631	263.0
10603	13.97667079133107	264.0
9314	13.974036538361354	265.0
3604	13.928867862520844	266.0
51733	13.867276919286391	267.0
1238	13.812237201327996	268.0
55040	13.765427996344066	269.0
2826	13.69292065661084	270.0
3875	13.68604920212021	271.0
5337	13.654362979847049	272.0
7484	13.602611437373891	273.0
1524	13.496350006645937	274.0
775	13.430884136217776	275.0
9459	13.410077340268506	276.0
1232	13.408387809867824	277.0
85366	13.406547468077756	278.0
5063	13.377237678062706	279.0
2888	13.296384957168074	280.0
51554	13.262935422353644	281.0
81029	13.149538040081984	282.0
54361	13.100695949779167	283.0
58494	13.06816029358347	284.0
23428	13.02236624344495	285.0
11023	13.020588536885342	286.0
6383	12.93459478198552	287.0
79772	12.91222343760682	288.0
1195	12.845134383041655	289.0
90993	12.77850382686225	290.0
1565	12.711302940967096	291.0
1564	12.669168302065165	292.0
4163	12.554403650901222	293.0
2246	12.548904980734289	294.0
63970	12.484270183134068	295.0
85409	12.46357423243925	296.0
2209	12.398138099574227	297.0
150084	12.387162575588317	298.0
3164	12.327866615714484	299.0
4058	12.318589882133816	300.0
253260	12.297100087617435	301.0
7054	12.224432286942395	302.0
729230	12.186971041170729	303.0
5997	12.185881979670082	304.0
7075	12.182235801888828	305.0
56475	12.139412590798743	306.0
7170	12.118816605711382	307.0
1592	12.062609636737609	308.0
216	12.052806150229992	309.0
8854	12.03710826733056	310.0
5577	12.023784464103498	311.0
5350	12.014799093647294	312.0
109	12.002999691713576	313.0
2687	12.00058038003444	314.0
7476	11.993278636528494	315.0
4145	11.98132756826065	316.0
5310	11.968640635681812	317.0
3294	11.95859641909226	318.0
558	11.931368312377517	319.0
79784	11.905792182692196	320.0
284217	11.894165608522526	321.0
6456	11.854015060979435	322.0
388	11.850937639454104	323.0
113451	11.828779632213244	324.0
286151	11.813712473555196	325.0
11213	11.804651471212347	326.0
2747	11.789442696774191	327.0
8997	11.767833825786576	328.0
8630	11.747774414891552	329.0
3632	11.744773925591945	330.0
56994	11.735367982967732	331.0
64764	11.701733934494843	332.0
51776	11.64485456691081	333.0
3751	11.64099879596336	334.0
9759	11.62168508947494	335.0
3572	11.598899207924047	336.0
8431	11.570503402037293	337.0
5569	11.535846859695456	338.0
933	11.497576435262882	339.0
84867	11.48575370401091	340.0
638	11.470878692513711	341.0
7430	11.417615460468395	342.0
