GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa04120	54809	155	30	4	1	0.5810046506640933	0.7073100095041137
hsa04141	54809	155	30	6	2	0.32849751960735496	0.5307125307125308
hsa04142	54809	155	30	2	1	0.35064935064935066	0.5307125307125308
hsa04217	54809	155	30	4	4	0.001184823365987852	0.008293763561914965
hsa04330	54809	155	30	2	1	0.35064935064935066	0.5307125307125308
hsa04380	54809	155	30	4	2	0.1688780775468082	0.3737486095661846
hsa04550	54809	155	30	1	1	0.1935483870967742	0.3737486095661846
hsa04613	54809	155	30	13	1	0.9463367635931121	0.98138627335582
hsa04620	54809	155	30	1	1	0.1935483870967742	0.3737486095661846
hsa04621	54809	155	30	15	10	2.795202488645057e-05	0.000260885565606872
hsa04622	54809	155	30	2	2	0.036447423544197735	0.14578969417679094
hsa04623	54809	155	30	2	2	0.036447423544197735	0.14578969417679094
hsa04625	54809	155	30	2	2	0.036447423544197735	0.14578969417679094
hsa04630	54809	155	30	3	2	0.09600203717850775	0.31624200482331966
hsa04658	54809	155	30	1	1	0.1935483870967742	0.3737486095661846
hsa04659	54809	155	30	2	1	0.35064935064935066	0.5307125307125308
hsa04917	54809	155	30	1	1	0.1935483870967742	0.3737486095661846
hsa04919	54809	155	30	3	2	0.09600203717850775	0.31624200482331966
hsa04933	54809	155	30	1	1	0.1935483870967742	0.3737486095661846
hsa04935	54809	155	30	1	1	0.1935483870967742	0.3737486095661846
hsa04975	54809	155	30	1	1	0.1935483870967742	0.3737486095661846
hsa04979	54809	155	30	2	1	0.35064935064935066	0.5307125307125308
hsa05010	54809	155	30	8	1	0.8289635800893611	0.8927300093270042
hsa05012	54809	155	30	6	1	0.731399007842942	0.8714541370043564
hsa05022	54809	155	30	7	1	0.7854797445188597	0.8797373138611229
hsa05034	54809	155	30	8	1	0.8289635800893611	0.8927300093270042
hsa05140	54809	155	30	2	1	0.35064935064935066	0.5307125307125308
hsa05145	54809	155	30	1	1	0.1935483870967742	0.3737486095661846
hsa05152	54809	155	30	4	1	0.5810046506640933	0.7073100095041137
hsa05160	54809	155	30	12	10	9.243069394739793e-07	1.7253729536847615e-05
hsa05161	54809	155	30	8	4	0.0459134901295867	0.17141036315045702
hsa05162	54809	155	30	9	9	1.273782273139633e-07	3.566590364790972e-06
hsa05164	54809	155	30	10	10	1.8321525846528967e-08	1.0260054474056222e-06
hsa05165	54809	155	30	10	4	0.1027012670123108	0.3195150529271891
hsa05167	54809	155	30	4	3	0.023125996810207335	0.1438950912635123
hsa05168	54809	155	30	9	8	6.641037578596178e-06	7.437962088027719e-05
hsa05169	54809	155	30	11	7	0.0010040535034298462	0.00803242802743877
hsa05170	54809	155	30	7	1	0.7854797445188597	0.8797373138611229
hsa05171	54809	155	30	11	9	5.305691259060759e-06	7.427967762685063e-05
hsa05200	54809	155	30	9	2	0.5497204455413792	0.7073100095041137
hsa05203	54809	155	30	13	2	0.7611273636047384	0.8797373138611229
hsa05212	54809	155	30	3	1	0.47797300738477205	0.6863202157319804
hsa05235	54809	155	30	4	1	0.5810046506640933	0.7073100095041137
hsa05321	54809	155	30	2	1	0.35064935064935066	0.5307125307125308
hsa05322	54809	155	30	10	1	0.8918411009678878	0.9423226727207872
hsa05417	54809	155	30	3	1	0.47797300738477205	0.6863202157319804
hsa00520	4317	155	7	2	1	0.08856304985337242	0.20263099048677793
hsa00983	4317	155	7	3	1	0.13026277959864296	0.20263099048677793
hsa01100	4317	155	7	24	1	0.6997681969272327	0.6997681969272327
hsa03320	4317	155	7	2	1	0.08856304985337242	0.20263099048677793
hsa04145	4317	155	7	5	2	0.016467865305105373	0.20263099048677793
hsa04613	4317	155	7	13	1	0.4652547415900081	0.5427971985216762
hsa04621	4317	155	7	15	1	0.51685437395681	0.5566124027227184
hsa04640	4317	155	7	5	1	0.20877861789907923	0.2922900650587109
hsa04657	4317	155	7	2	1	0.08856304985337242	0.20263099048677793
hsa05146	4317	155	7	2	1	0.08856304985337242	0.20263099048677793
hsa05150	4317	155	7	6	1	0.24570228239712213	0.31271199577815545
hsa05202	4317	155	7	8	2	0.043137840004402996	0.20263099048677793
hsa05221	4317	155	7	3	1	0.13026277959864296	0.20263099048677793
hsa05417	4317	155	7	3	1	0.13026277959864296	0.20263099048677793
hsa01521	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa04010	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa04012	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa04014	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa04015	6678	155	6	2	2	0.0012568077084206116	0.024298282362798494
hsa04020	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa04066	6678	155	6	2	1	0.07616254713028907	0.12270632593213239
hsa04068	6678	155	6	4	1	0.14742864579077503	0.1781429469971865
hsa04072	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
hsa04145	6678	155	6	5	2	0.011920615982686287	0.11225806451612903
hsa04151	6678	155	6	3	2	0.0037047076895274232	0.04297460919851811
hsa04360	6678	155	6	1	1	0.03870967741935484	0.11225806451612903
