GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa05417	6947	155	11	3	1	0.19934941718622912	0.25250926176922356
hsa00480	6782	155	21	2	1	0.2533724340175955	0.46620527859237576
hsa00520	6782	155	21	2	1	0.2533724340175955	0.46620527859237576
hsa00760	6782	155	21	2	1	0.2533724340175955	0.46620527859237576
hsa01100	6782	155	21	24	3	0.6700525329443079	0.7338670598913849
hsa01250	6782	155	21	1	1	0.1354838709677421	0.46620527859237576
hsa03008	6782	155	21	18	1	0.9385209253670583	0.9385209253670583
hsa03018	6782	155	21	2	1	0.2533724340175955	0.46620527859237576
hsa03030	6782	155	21	4	1	0.4448450347881091	0.5684131000070283
hsa03250	6782	155	21	5	1	0.5220520167049943	0.6003598192107436
hsa04020	6782	155	21	2	1	0.2533724340175955	0.46620527859237576
hsa04110	6782	155	21	14	2	0.595018665740693	0.6675819176602897
hsa04114	6782	155	21	7	2	0.24137786544114861	0.46620527859237576
hsa04120	6782	155	21	4	1	0.4448450347881091	0.5684131000070283
hsa04141	6782	155	21	6	3	0.033074464564719235	0.46620527859237576
hsa04145	6782	155	21	5	1	0.5220520167049943	0.6003598192107436
hsa04151	6782	155	21	3	1	0.35585072738772927	0.5280365632205015
hsa04540	6782	155	21	3	1	0.35585072738772927	0.5280365632205015
hsa04550	6782	155	21	1	1	0.1354838709677421	0.46620527859237576
hsa04610	6782	155	21	2	1	0.2533724340175955	0.46620527859237576
hsa04621	6782	155	21	15	1	0.8995073233624667	0.9194963749927437
hsa04640	6782	155	21	5	1	0.5220520167049943	0.6003598192107436
hsa04657	6782	155	21	2	1	0.2533724340175955	0.46620527859237576
hsa04659	6782	155	21	2	1	0.2533724340175955	0.46620527859237576
hsa04726	6782	155	21	1	1	0.1354838709677421	0.46620527859237576
hsa04910	6782	155	21	1	1	0.1354838709677421	0.46620527859237576
hsa04914	6782	155	21	7	2	0.24137786544114861	0.46620527859237576
hsa04915	6782	155	21	1	1	0.1354838709677421	0.46620527859237576
hsa04918	6782	155	21	1	1	0.1354838709677421	0.46620527859237576
hsa04919	6782	155	21	3	1	0.35585072738772927	0.5280365632205015
hsa04921	6782	155	21	1	1	0.1354838709677421	0.46620527859237576
hsa04970	6782	155	21	2	1	0.2533724340175955	0.46620527859237576
hsa04972	6782	155	21	1	1	0.1354838709677421	0.46620527859237576
hsa05010	6782	155	21	8	2	0.29617759702844676	0.5240065178195596
hsa05012	6782	155	21	6	2	0.18748842839849073	0.46620527859237576
hsa05014	6782	155	21	4	1	0.4448450347881091	0.5684131000070283
hsa05016	6782	155	21	4	1	0.4448450347881091	0.5684131000070283
hsa05020	6782	155	21	4	1	0.4448450347881091	0.5684131000070283
hsa05022	6782	155	21	7	3	0.0527648357918444	0.46620527859237576
hsa05130	6782	155	21	1	1	0.1354838709677421	0.46620527859237576
hsa05132	6782	155	21	2	2	0.017595307917888582	0.46620527859237576
hsa05171	6782	155	21	11	1	0.809844521600257	0.8466556362184504
hsa05200	6782	155	21	9	1	0.7402844207920937	0.7919321710799141
hsa05207	6782	155	21	5	1	0.5220520167049943	0.6003598192107436
hsa05215	6782	155	21	3	1	0.35585072738772927	0.5280365632205015
hsa05417	6782	155	21	3	1	0.35585072738772927	0.5280365632205015
hsa05418	6782	155	21	2	1	0.2533724340175955	0.46620527859237576
