gene1	gene2	correlation
332	55601	-0.111357
332	55789	0.746441
332	55790	0.040765
332	57162	-0.231663
332	57674	-0.172322
332	64105	0.307393
332	64108	-0.039992
332	64135	-0.190108
332	64151	0.842042
332	64407	-0.108208
332	65244	0.521511
332	79056	-0.158914
332	79598	0.007607
332	79682	0.657591
332	79801	0.683108
332	79971	-0.119685
332	80267	-0.124004
332	80315	-0.195871
332	80830	-0.121683
332	81027	0.047109
332	81030	-0.009134
332	81567	0.589582
332	81618	0.652929
332	83540	0.787146
332	83666	-0.22471
332	84057	0.825745
332	84174	0.22012
332	84333	-0.143912
332	85363	-0.217633
332	90355	0.197096
332	90701	0.589514
332	91319	0.683836
332	91543	-0.044832
332	92906	-0.022746
332	93100	0.314839
332	94240	0.057005
332	113130	0.948274
332	114908	-0.195557
332	115361	-0.091556
332	115362	-0.031973
332	116071	0.06506
332	120892	-0.192581
332	122509	0.751058
332	129607	-0.081179
332	130589	-0.025067
332	135112	-0.107608
332	140609	-0.21109
332	147339	-0.137669
332	147807	0.290688
332	151636	-0.280286
332	153222	-0.21553
332	162394	-0.126453
332	219285	-0.176677
332	219537	-0.036258
332	219988	-0.20407
332	254225	-0.194084
332	257019	0.188764
332	348262	0.271968
332	374291	0.320187
332	375298	-0.006722
332	387882	0.283174
332	440068	-0.098957
332	441864	0.373844
332	444882	-0.163973
332	445815	0.190243
332	494143	0.549402
332	728358	0.50785
332	100132406	-0.220485
332	100133941	0.418763
332	100169751	0.236582
332	100169753	0.236582
332	100169754	0.236582
332	100169755	0.236582
332	100169756	0.236582
332	100169757	0.236582
332	100169758	0.236582
332	100169759	0.236582
332	100169760	0.067974
332	100169761	0.236582
332	100169762	0.236582
332	100169763	0.236582
332	100169764	0.236582
332	100169765	0.236582
332	100169766	0.236582
332	100169767	0.236582
332	100169768	0.236582
332	100423062	0.581945
332	100820829	0.236086
332	100913187	-0.140804
332	101060226	-0.190161
332	109864272	0.1824
351	351	1.0
351	513	-0.474023
351	608	0.14614
351	671	0.227275
351	699	0.472455
351	706	-0.484314
351	710	0.065445
351	734	0.600405
351	820	-0.012452
351	890	0.441456
351	891	0.292574
351	924	-0.310773
351	932	0.178446
351	952	0.508612
351	983	0.363877
351	990	0.405132
351	991	0.059623
351	1033	0.230925
351	1088	0.242403
351	1118	-0.047468
351	1397	-0.353342
351	1511	0.059699
351	1667	-0.0651
351	1668	-0.100742
351	1669	0.073212
351	1718	0.454708
351	1719	0.719685
351	1869	0.258663
351	1950	0.737854
351	1955	0.737555
351	1997	0.801348
351	2162	0.876533
351	2215	0.363823
351	2237	0.240416
351	2529	-0.534148
351	2537	-0.059986
351	2633	0.327629
351	2635	0.429596
351	2731	0.318593
351	3017	0.409892
351	3039	-0.432915
351	3040	-0.463424
351	3043	-0.204261
351	3161	0.423588
351	3429	0.06978
351	3433	0.382422
351	3434	0.200101
351	3437	0.24369
351	3493	0.005239
351	3494	-0.06541
351	3500	0.153875
351	3501	0.073677
351	3502	0.088551
351	3503	0.126861
351	3507	0.065341
351	3512	0.294647
351	3514	0.098777
351	3537	0.032502
351	3538	0.098402
351	3539	0.060188
351	3656	0.556931
351	3662	0.488965
351	3690	0.68957
351	3832	0.50457
351	3833	0.264988
351	3925	0.221451
351	3934	-0.004301
351	3998	0.611069
351	4051	0.600914
351	4057	0.163481
351	4061	-0.127371
351	4171	0.283418
351	4173	0.559073
351	4175	0.659275
351	4288	0.521751
351	4311	0.539908
351	4317	0.37261
351	4353	0.207774
351	4599	0.198397
351	4605	0.093154
351	4680	0.295869
351	4713	-0.468135
351	4938	0.245688
351	4939	0.323079
351	4940	0.38426
351	4973	0.267685
351	5273	0.265291
351	5414	0.196857
351	5450	0.344997
351	5577	0.805682
351	5610	0.535235
351	5806	0.384024
351	6035	0.170859
351	6036	0.189993
351	6037	0.038521
351	6241	0.447263
351	6319	0.664541
351	6518	0.2815
351	6614	0.115517
351	6675	0.534024
351	6678	0.650321
351	6772	0.482587
